energy	p2	p2	p3
4.74950	0.998381	0.999143	0.999329
4.77956	0.998402	0.999132	0.999401
4.80962	0.998423	0.999123	0.999470
4.83968	0.998444	0.999113	0.999535
4.86974	0.998464	0.999104	0.999597
4.89980	0.998484	0.999095	0.999654
4.92986	0.998504	0.999087	0.999708
4.95992	0.998523	0.999080	0.999757
4.98998	0.998543	0.999072	0.999801
5.02004	0.998562	0.999066	0.999841
5.05010	0.998580	0.999059	0.999876
5.08016	0.998599	0.999054	0.999907
5.11022	0.998617	0.999048	0.999934
5.14028	0.998635	0.999043	0.999955
5.17034	0.998652	0.999038	0.999973
5.20040	0.998669	0.999034	0.999986
5.23046	0.998687	0.999030	0.999994
5.26052	0.998703	0.999027	0.999999
5.29058	0.998720	0.999024	1.00000
5.32064	0.998736	0.999022	0.999997
5.35070	0.998752	0.999019	0.999990
5.38076	0.998768	0.999018	0.999980
5.41082	0.998784	0.999016	0.999967
5.44088	0.998799	0.999015	0.999950
5.47094	0.998815	0.999014	0.999931
5.50100	0.998830	0.999014	0.999910
5.53106	0.998844	0.999014	0.999886
5.56112	0.998859	0.999014	0.999860
5.59118	0.998873	0.999015	0.999832
5.62124	0.998888	0.999016	0.999803
5.65130	0.998902	0.999017	0.999773
5.68136	0.998915	0.999019	0.999741
5.71142	0.998929	0.999021	0.999709
5.74148	0.998943	0.999023	0.999676
5.77154	0.998956	0.999025	0.999642
5.80160	0.998969	0.999028	0.999609
5.83166	0.998982	0.999031	0.999575
5.86172	0.998994	0.999034	0.999542
5.89178	0.999007	0.999038	0.999510
5.92184	0.999019	0.999042	0.999478
5.95190	0.999032	0.999046	0.999446
5.98196	0.999044	0.999050	0.999416
6.01202	0.999056	0.999055	0.999387
6.04208	0.999067	0.999059	0.999360
6.07214	0.999079	0.999064	0.999333
6.10220	0.999090	0.999069	0.999309
6.13226	0.999102	0.999075	0.999286
6.16232	0.999113	0.999080	0.999265
6.19238	0.999124	0.999086	0.999245
6.22244	0.999134	0.999092	0.999228
6.25251	0.999145	0.999098	0.999212
6.28257	0.999156	0.999105	0.999198
6.31263	0.999166	0.999111	0.999187
6.34269	0.999176	0.999118	0.999178
6.37275	0.999187	0.999124	0.999170
6.40281	0.999197	0.999131	0.999165
6.43287	0.999206	0.999138	0.999162
6.46293	0.999216	0.999146	0.999160
6.49299	0.999226	0.999153	0.999161
6.52305	0.999235	0.999160	0.999164
6.55311	0.999245	0.999168	0.999169
6.58317	0.999254	0.999176	0.999176
6.61323	0.999263	0.999183	0.999184
6.64329	0.999272	0.999191	0.999194
6.67335	0.999281	0.999199	0.999206
6.70341	0.999290	0.999207	0.999220
6.73347	0.999299	0.999215	0.999235
6.76353	0.999307	0.999224	0.999251
6.79359	0.999316	0.999232	0.999269
6.82365	0.999324	0.999240	0.999288
6.85371	0.999332	0.999249	0.999308
6.88377	0.999341	0.999257	0.999329
6.91383	0.999349	0.999266	0.999351
6.94389	0.999357	0.999274	0.999374
6.97395	0.999364	0.999283	0.999397
7.00401	0.999372	0.999292	0.999421
7.03407	0.999380	0.999300	0.999446
7.06413	0.999387	0.999309	0.999471
7.09419	0.999395	0.999318	0.999496
7.12425	0.999402	0.999327	0.999522
7.15431	0.999410	0.999335	0.999547
7.18437	0.999417	0.999344	0.999573
7.21443	0.999424	0.999353	0.999598
7.24449	0.999431	0.999362	0.999624
7.27455	0.999438	0.999371	0.999649
7.30461	0.999445	0.999380	0.999673
7.33467	0.999452	0.999389	0.999697
7.36473	0.999458	0.999397	0.999721
7.39479	0.999465	0.999406	0.999743
7.42485	0.999471	0.999415	0.999766
7.45491	0.999478	0.999424	0.999787
7.48497	0.999484	0.999433	0.999808
7.51503	0.999491	0.999442	0.999827
7.54509	0.999497	0.999450	0.999846
7.57515	0.999503	0.999459	0.999864
7.60521	0.999509	0.999468	0.999881
7.63527	0.999515	0.999476	0.999897
7.66533	0.999521	0.999485	0.999912
7.69539	0.999527	0.999494	0.999925
7.72545	0.999533	0.999502	0.999938
7.75551	0.999538	0.999511	0.999949
7.78557	0.999544	0.999519	0.999959
7.81563	0.999550	0.999528	0.999968
7.84569	0.999555	0.999536	0.999976
7.87575	0.999561	0.999544	0.999983
7.90581	0.999566	0.999553	0.999989
7.93587	0.999571	0.999561	0.999993
7.96593	0.999577	0.999569	0.999996
7.99599	0.999582	0.999577	0.999999
8.02605	0.999587	0.999585	1.00000
8.05611	0.999592	0.999593	1.00000
8.08617	0.999597	0.999601	0.999999
8.11623	0.999602	0.999609	0.999997
8.14629	0.999607	0.999617	0.999994
8.17635	0.999612	0.999625	0.999991
8.20641	0.999617	0.999632	0.999986
8.23647	0.999621	0.999640	0.999980
8.26653	0.999626	0.999647	0.999974
8.29659	0.999631	0.999655	0.999967
8.32665	0.999635	0.999662	0.999959
8.35671	0.999640	0.999669	0.999951
8.38677	0.999644	0.999677	0.999942
8.41683	0.999649	0.999684	0.999933
8.44689	0.999653	0.999691	0.999923
8.47695	0.999657	0.999698	0.999912
8.50701	0.999662	0.999705	0.999902
8.53707	0.999666	0.999712	0.999890
8.56713	0.999670	0.999718	0.999879
8.59719	0.999674	0.999725	0.999867
8.62725	0.999678	0.999732	0.999855
8.65731	0.999682	0.999738	0.999844
8.68737	0.999686	0.999745	0.999831
8.71743	0.999690	0.999751	0.999819
8.74749	0.999694	0.999757	0.999807
8.77756	0.999698	0.999763	0.999795
8.80762	0.999701	0.999769	0.999784
8.83768	0.999705	0.999775	0.999772
8.86774	0.999709	0.999781	0.999760
8.89780	0.999713	0.999787	0.999749
8.92786	0.999716	0.999793	0.999738
8.95792	0.999720	0.999799	0.999727
8.98798	0.999723	0.999804	0.999717
9.01804	0.999727	0.999810	0.999707
9.04810	0.999730	0.999815	0.999698
9.07816	0.999734	0.999820	0.999689
9.10822	0.999737	0.999826	0.999680
9.13828	0.999740	0.999831	0.999672
9.16834	0.999744	0.999836	0.999664
9.19840	0.999747	0.999841	0.999657
9.22846	0.999750	0.999846	0.999651
9.25852	0.999753	0.999850	0.999645
9.28858	0.999756	0.999855	0.999640
9.31864	0.999760	0.999860	0.999635
9.34870	0.999763	0.999864	0.999631
9.37876	0.999766	0.999869	0.999627
9.40882	0.999769	0.999873	0.999624
9.43888	0.999772	0.999877	0.999622
9.46894	0.999775	0.999882	0.999620
9.49900	0.999777	0.999886	0.999619
9.52906	0.999780	0.999890	0.999619
9.55912	0.999783	0.999894	0.999619
9.58918	0.999786	0.999898	0.999620
9.61924	0.999789	0.999901	0.999621
9.64930	0.999792	0.999905	0.999623
9.67936	0.999794	0.999909	0.999626
9.70942	0.999797	0.999912	0.999629
9.73948	0.999800	0.999916	0.999632
9.76954	0.999802	0.999919	0.999637
9.79960	0.999805	0.999922	0.999641
9.82966	0.999807	0.999925	0.999646
9.85972	0.999810	0.999929	0.999652
9.88978	0.999812	0.999932	0.999658
9.91984	0.999815	0.999935	0.999664
9.94990	0.999817	0.999938	0.999671
9.97996	0.999820	0.999940	0.999678
10.0100	0.999822	0.999943	0.999686
10.0401	0.999824	0.999946	0.999694
10.0701	0.999827	0.999948	0.999702
10.1002	0.999829	0.999951	0.999711
10.1303	0.999831	0.999953	0.999719
10.1603	0.999834	0.999956	0.999728
10.1904	0.999836	0.999958	0.999737
10.2204	0.999838	0.999960	0.999747
10.2505	0.999840	0.999962	0.999756
