energy	short	medium	long	Llong
6.08434	0.938245	0.720916	0.535757	0.564287
6.14458	0.938889	0.724736	0.560043	0.556583
6.20482	0.939522	0.728508	0.584516	0.556033
6.26506	0.940143	0.732233	0.609071	0.561700
6.32530	0.940753	0.735910	0.633601	0.572890
6.38554	0.941352	0.739541	0.657991	0.589066
6.44578	0.941941	0.743125	0.682126	0.609782
6.50602	0.942520	0.746664	0.705892	0.634613
6.56627	0.943088	0.750158	0.729173	0.663110
6.62651	0.943647	0.753608	0.751860	0.694744
6.68675	0.944196	0.757013	0.773849	0.728873
6.74699	0.944736	0.760375	0.795041	0.764712
6.80723	0.945267	0.763694	0.815350	0.801332
6.86747	0.945790	0.766970	0.834697	0.837669
6.92771	0.946303	0.770204	0.853016	0.872575
6.98795	0.946808	0.773397	0.870254	0.904889
7.04819	0.947305	0.776549	0.886369	0.933531
7.10843	0.947795	0.779660	0.901334	0.957595
7.16867	0.948276	0.782730	0.915133	0.976439
7.22892	0.948749	0.785761	0.927762	0.989734
7.28916	0.949216	0.788753	0.939229	0.997486
7.34940	0.949675	0.791706	0.949552	1.00000
7.40964	0.950126	0.794621	0.958760	0.997826
7.46988	0.950571	0.797498	0.966887	0.991682
7.53012	0.951010	0.800338	0.973977	0.982369
7.59036	0.951441	0.803140	0.980077	0.970702
7.65060	0.951866	0.805906	0.985241	0.957450
7.71084	0.952285	0.808636	0.989523	0.943307
7.77108	0.952697	0.811331	0.992983	0.928865
7.83133	0.953104	0.813990	0.995678	0.914612
7.89157	0.953504	0.816614	0.997669	0.900935
7.95181	0.953899	0.819204	0.999015	0.888132
8.01205	0.954288	0.821760	0.999773	0.876418
8.07229	0.954671	0.824283	1.00000	0.865946
8.13253	0.955050	0.826772	0.999749	0.856813
8.19277	0.955422	0.829229	0.999072	0.849077
8.25301	0.955790	0.831653	0.998019	0.842759
8.31325	0.956152	0.834045	0.996635	0.837857
8.37349	0.956509	0.836406	0.994965	0.834349
8.43373	0.956862	0.838736	0.993048	0.832199
8.49398	0.957210	0.841034	0.990922	0.831356
8.55422	0.957553	0.843303	0.988621	0.831766
8.61446	0.957891	0.845541	0.986178	0.833362
8.67470	0.958225	0.847750	0.983622	0.836075
8.73494	0.958554	0.849930	0.980979	0.839828
8.79518	0.958879	0.852080	0.978273	0.844543
8.85542	0.959200	0.854202	0.975527	0.850132
8.91566	0.959517	0.856296	0.972759	0.856508
8.97590	0.959829	0.858362	0.969987	0.863577
9.03614	0.960138	0.860400	0.967228	0.871242
9.09639	0.960442	0.862412	0.964494	0.879401
9.15663	0.960743	0.864396	0.961799	0.887952
9.21687	0.961040	0.866354	0.959153	0.896787
9.27711	0.961333	0.868286	0.956566	0.905798
9.33735	0.961622	0.870192	0.954046	0.914877
9.39759	0.961908	0.872072	0.951600	0.923916
9.45783	0.962191	0.873928	0.949235	0.932808
9.51807	0.962469	0.875758	0.946955	0.941452
9.57831	0.962745	0.877564	0.944765	0.949751
9.63855	0.963017	0.879346	0.942668	0.957614
9.69880	0.963286	0.881104	0.940667	0.964959
9.75904	0.963552	0.882838	0.938765	0.971714
9.81928	0.963814	0.884549	0.936963	0.977818
9.87952	0.964073	0.886237	0.935263	0.983222
9.93976	0.964330	0.887902	0.933664	0.987889
10.0000	0.964583	0.889545	0.932168	0.991795
10.0602	0.964833	0.891165	0.930774	0.994931
10.1205	0.965081	0.892764	0.929482	0.997299
10.1807	0.965326	0.894341	0.928291	0.998912
10.2410	0.965567	0.895897	0.927200	0.999795
10.3012	0.965806	0.897432	0.926209	0.999984
10.3614	0.966043	0.898946	0.925315	0.999521
10.4217	0.966276	0.900439	0.924518	0.998457
10.4819	0.966507	0.901913	0.923815	0.996848
