energy	electron	tau-neutrino	muon	proton
12.7711	0.995025	0.941749	0.959144	0.993543
12.8313	0.995049	0.942526	0.958783	0.995282
12.8916	0.995073	0.943293	0.958447	0.996748
12.9518	0.995097	0.944050	0.958138	0.997939
13.0120	0.995121	0.944798	0.957853	0.998855
13.0723	0.995144	0.945537	0.957594	0.999499
13.1325	0.995168	0.946266	0.957360	0.999878
13.1928	0.995191	0.946986	0.957150	1.00000
13.2530	0.995213	0.947697	0.956964	0.999875
13.3133	0.995236	0.948399	0.956801	0.999516
13.3735	0.995258	0.949093	0.956662	0.998937
13.4337	0.995280	0.949777	0.956546	0.998155
13.4940	0.995302	0.950454	0.956452	0.997184
13.5542	0.995324	0.951121	0.956381	0.996045
13.6145	0.995346	0.951781	0.956331	0.994754
13.6747	0.995367	0.952432	0.956302	0.993332
13.7349	0.995388	0.953075	0.956294	0.991798
13.7952	0.995409	0.953710	0.956306	0.990171
13.8554	0.995430	0.954337	0.956338	0.988470
13.9157	0.995451	0.954956	0.956390	0.986714
13.9759	0.995471	0.955567	0.956460	0.984921
14.0361	0.995492	0.956171	0.956549	0.983110
14.0964	0.995512	0.956767	0.956656	0.981297
14.1566	0.995532	0.957356	0.956781	0.979498
14.2169	0.995551	0.957937	0.956922	0.977729
14.2771	0.995571	0.958511	0.957081	0.976003
14.3373	0.995590	0.959078	0.957255	0.974335
14.3976	0.995610	0.959638	0.957445	0.972736
14.4578	0.995629	0.960190	0.957651	0.971216
14.5181	0.995648	0.960736	0.957871	0.969787
14.5783	0.995667	0.961275	0.958105	0.968456
14.6386	0.995685	0.961808	0.958353	0.967232
14.6988	0.995704	0.962333	0.958615	0.966121
14.7590	0.995722	0.962852	0.958890	0.965128
14.8193	0.995740	0.963365	0.959177	0.964258
14.8795	0.995759	0.963871	0.959476	0.963514
14.9398	0.995776	0.964370	0.959787	0.962899
15.0000	0.995794	0.964864	0.960109	0.962414
